License report for tunnel-client release artifact flavor: runtime-cloudflared
Platforms: windows/amd64
Tests included: false
License summary (all licenses currently in use; additions require legal approval and #release-approval sign-off):
  Apache-2.0
  BSD-2-Clause
  BSD-3-Clause
  MIT

DEPENDENCY|TYPE|VERSION|LICENSES|LICENSE_FILE|PLATFORMS
github.com/BurntSushi/toml|transitive|v1.2.0|MIT|github.com/!burnt!sushi/toml@v1.2.0/COPYING|windows/amd64
github.com/bahlo/generic-list-go|transitive|v0.2.0|BSD-3-Clause|github.com/bahlo/generic-list-go@v0.2.0/LICENSE|windows/amd64
github.com/beorn7/perks/quantile|transitive|v1.0.1|MIT|github.com/beorn7/perks@v1.0.1/LICENSE|windows/amd64
github.com/buger/jsonparser|transitive|v1.1.2|MIT|github.com/buger/jsonparser@v1.1.2/LICENSE|windows/amd64
github.com/cespare/xxhash/v2|transitive|v2.3.0|MIT|github.com/cespare/xxhash/v2@v2.3.0/LICENSE.txt|windows/amd64
github.com/cloudflare/backoff|direct|v0.0.0-20240920015135-e46b80a3a7d0|BSD-2-Clause|github.com/cloudflare/backoff@v0.0.0-20240920015135-e46b80a3a7d0/LICENSE|windows/amd64
github.com/cloudflare/cloudflared|transitive|Unknown|Apache-2.0|github.com/cloudflare/cloudflared@v0.0.0-20260814112252-733bfb939963/LICENSE|windows/amd64
github.com/coreos/go-oidc/v3/oidc|transitive|v3.17.0|Apache-2.0|github.com/coreos/go-oidc/v3@v3.17.0/LICENSE|windows/amd64
github.com/coreos/go-systemd/v22/daemon|transitive|v22.5.0|Apache-2.0|github.com/coreos/go-systemd/v22@v22.5.0/LICENSE|windows/amd64
github.com/cpuguy83/go-md2man/v2/md2man|transitive|v2.0.0|MIT|github.com/cpuguy83/go-md2man/v2@v2.0.0/LICENSE.md|windows/amd64
github.com/facebookgo/grace/gracenet|transitive|v0.0.0-20180706040059-75cf19382434|MIT|github.com/facebookgo/grace@v0.0.0-20180706040059-75cf19382434/license|windows/amd64
github.com/felixge/httpsnoop|transitive|v1.0.4|MIT|github.com/felixge/httpsnoop@v1.0.4/LICENSE.txt|windows/amd64
github.com/fsnotify/fsnotify|direct|v1.4.9|BSD-3-Clause|github.com/fsnotify/fsnotify@v1.4.9/LICENSE|windows/amd64
github.com/getsentry/sentry-go|direct|v0.43.0|MIT|github.com/getsentry/sentry-go@v0.43.0/LICENSE|windows/amd64
github.com/go-chi/chi/v5|direct|v5.3.1|MIT|github.com/go-chi/chi/v5@v5.3.1/LICENSE|windows/amd64
github.com/go-chi/cors|direct|v1.2.1|MIT|github.com/go-chi/cors@v1.2.1/LICENSE|windows/amd64
github.com/go-jose/go-jose/v4|direct|v4.1.4|Apache-2.0|github.com/go-jose/go-jose/v4@v4.1.4/LICENSE|windows/amd64
github.com/go-jose/go-jose/v4/json|transitive|v4.1.4|BSD-3-Clause|github.com/go-jose/go-jose/v4@v4.1.4/json/LICENSE|windows/amd64
github.com/go-logr/logr|transitive|v1.4.3|Apache-2.0|github.com/go-logr/logr@v1.4.3/LICENSE|windows/amd64
github.com/go-logr/stdr|transitive|v1.2.2|Apache-2.0|github.com/go-logr/stdr@v1.2.2/LICENSE|windows/amd64
github.com/go-ole/go-ole|transitive|v1.2.6|MIT|github.com/go-ole/go-ole@v1.2.6/LICENSE|windows/amd64
github.com/gobwas/httphead|transitive|v0.1.0|MIT|github.com/gobwas/httphead@v0.1.0/LICENSE|windows/amd64
github.com/gobwas/pool|transitive|v0.2.1|MIT|github.com/gobwas/pool@v0.2.1/LICENSE|windows/amd64
github.com/gobwas/ws|direct|v1.2.1|MIT|github.com/gobwas/ws@v1.2.1/LICENSE|windows/amd64
github.com/google/gopacket|direct|v1.1.19|BSD-3-Clause|github.com/google/gopacket@v1.1.19/LICENSE|windows/amd64
github.com/google/jsonschema-go/jsonschema|transitive|v0.4.3|MIT|github.com/google/jsonschema-go@v0.4.3/LICENSE|windows/amd64
github.com/google/uuid|direct|v1.6.0|BSD-3-Clause|github.com/google/uuid@v1.6.0/LICENSE|windows/amd64
github.com/gorilla/websocket|direct|v1.5.0|BSD-2-Clause|github.com/gorilla/websocket@v1.5.0/LICENSE|windows/amd64
github.com/grafana/regexp|transitive|v0.0.0-20240518133315-a468a5bfb3bc|BSD-3-Clause|github.com/grafana/regexp@v0.0.0-20240518133315-a468a5bfb3bc/LICENSE|windows/amd64
github.com/grpc-ecosystem/grpc-gateway/v2|transitive|v2.28.0|BSD-3-Clause|github.com/grpc-ecosystem/grpc-gateway/v2@v2.28.0/LICENSE|windows/amd64
github.com/inconshreveable/mousetrap|transitive|v1.1.0|Apache-2.0|github.com/inconshreveable/mousetrap@v1.1.0/LICENSE|windows/amd64
